Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR426837,2013-02-14 00:00:00,2012-08-11 21:08:12,26256871,4726236780,26256871,180,2736,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/426/SRR426837/SRR426837.sralite.1,SRX120026,TF_adult,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,SRP010923,,,0,SRS292176,SAMN00790412,simple,240496,Tetraclita japonica,TF,,,,,,,no,,,,,"BIODIVERSITY RESEARCH CENTER, ACADEMIA SINICA",SRA050112,,public,6F72E2A316BF8FE6BDDE7381C54A60D0,586B106CC045113374802561A3259D2E
SRR4113502,2017-05-22 13:58:14,2016-09-01 10:38:35,21197423,6359226900,21197423,300,3374,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR004/113/SRR4113502.sralite.1,SRX2085857,MCZ IZ 71203,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP083948,PRJNA328606,,328606,SRS1662891,SAMN05717823,simple,37709,Chthamalus fragilis,MCZ IZ 71203,,,,,,,no,,,,,HARVARD UNIVERSITY,SRA459262,,public,AD48708F072E9ACB709B14B341EE953C,8E54819CAD2258B5B547C7CA1E5CBD37
SRR5140107,2018-02-01 00:09:15,2017-01-03 19:40:14,25290899,7587269700,25290899,300,4156,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/140/SRR5140107.sralite.1,SRX2458815,MCZ IZ 74080,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095961,PRJNA358279,,358279,SRS1891769,SAMN06174160,simple,36137,Pollicipes polymerus,MCZ IZ 74080,,,,,,,no,,,,,HARVARD UNIVERSITY,SRA518604,,public,3DC0E5A07779E6349B39DE88948BA20C,77678D456E8890920AE8DAB49938E3B4
SRR5140130,2018-02-01 00:09:15,2017-01-03 19:45:07,19060048,5718014400,19060048,300,2937,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/140/SRR5140130.sralite.1,SRX2458838,MCZ IZ 71206a,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095961,PRJNA358279,,358279,SRS1891792,SAMN06174146,simple,37711,Loxothylacus texanus,MCZ IZ 71206a,,,,,,,no,,,,,HARVARD UNIVERSITY,SRA518604,,public,23A59E82F51729364BBA9D292E1597E0,DE7C2D610D2570675856F939310F04AA
SRR5140144,2018-02-01 00:09:16,2017-01-03 22:01:51,75092933,22527879900,75092933,300,12429,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/140/SRR5140144.sralite.1,SRX2458852,MCZ IZ 68049,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP095961,PRJNA358279,,358279,SRS1891809,SAMN06174140,simple,94630,Semibalanus balanoides,MCZ IZ 68049,,,,,,,no,,,,,HARVARD UNIVERSITY,SRA518604,,public,1DF1B0FDBE4FC3EE9EE2C5AF1F208631,6D485C43894CA2D3B9731E1A4593F2E2
SRR5198727,2017-01-29 18:44:39,2017-01-24 18:23:09,60885658,12298902916,60885658,202,6594,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR005/198/SRR5198727/SRR5198727.sralite.1,SRX2514203,T_rathkei_M3,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP097712,PRJNA363081,,363081,SRS1937675,SAMN04461044,simple,1720764,Trachelipus rathkii,T_rathkei_M3,,,,,male,,no,,,,,SUNY OSWEGO,SRA531114,,public,69B4CC712CF7F768152796CA49B9F295,6AB7E02AC39FEFCD3FC8E7AD17C8469A
SRR5832119,2018-01-04 16:52:42,2017-07-17 12:42:14,44871270,9063996540,44871270,202,6329,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR005/832/SRR5832119.sralite.1,SRX3009428,Ppol,RNA-Seq,Hybrid Selection,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP112554,PRJNA394196,,394196,SRS2359512,SAMN07352954,simple,41117,Pollicipes pollicipes,Ppol,,,,,,,no,,,,,UNIVERSITY OF A CORUNA,SRA587415,,public,B3F51BB301F01C3E2B2F9624F34CA97C,6984E68F38C0976B61730BB93902A098
SRR6327827,2018-03-01 00:07:37,2017-11-28 21:38:58,26785593,8035677900,26785593,300,3488,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/327/SRR6327827.sralite.1,SRX3427461,PVC,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP125783,PRJNA420115,,420115,SRS2718923,SAMN08107514,simple,1232802,Amphibalanus reticulatus,PVC,,,,,hermaphrodite,,no,,,,,NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY,SRA634621,,public,D5E68C61F8CDB9C691D2164BA776C4A8,A0B2009E6B5DD4F30E0D3BE7406C3D9B
SRR6516776,2020-02-01 00:00:19,2018-01-28 08:22:36,32722199,6544439800,32722199,200,2413,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/516/SRR6516776.sralite.1,SRX3604747,carcass_mv,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP131606,PRJNA431879,,431879,SRS2872315,SAMN08425387,simple,266495,Megabalanus volcano,carcass,,,,,,,no,,,,,"INSTITUTE OF DEEP-SEA SCIENCE AND ENGINEERING, CHINESE ACADEMY OF SCIENCES",SRA653010,,public,2FCB171E74D9C3481C454C9EF4ACBDF9,B2B7740B78A5BC3DE8229C8A6276B62B
SRR6818896,2018-04-01 00:04:59,2018-03-08 16:13:16,40227053,11035490190,40227053,274,4403,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR006/818/SRR6818896.sralite.1,SRX3775827,Lan_Cgland,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP134179,PRJNA437397,,437397,SRS3029962,SAMN08662092,simple,37710,Lepas anatifera,Lan_Cgland,,,,,hermaphrodite,,no,,,,,CIIMAR - INTERDISCIPLINARY CENTRE OF MARINE AND ENVIRONMENTAL RESEARCH,SRA665014,,public,04A7102C14852619676F0C5115017736,3428613FBBC5A675544BFBFF6D10D94D
